S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,State Code,Constituency Number
7.0,CHANDAN MALLICK,Bahujan Samaj Party,5905,30,5935,0.4,14 - Bangaon (West Bengal),25,14
8.0,PRANITA MANDAL,Independent,2407,4,2411,0.16,14 - Bangaon (West Bengal),25,14
9.0,SUMITA PODDAR,Independent,2347,7,2354,0.16,14 - Bangaon (West Bengal),25,14
10.0,BISWAJIT DAS S/O LATE BALARAM DAS,Independent,2241,7,2248,0.15,14 - Bangaon (West Bengal),25,14
11.0,PATIT PABAN MANDAL,Socialist Unity Centre Of India (COMMUNIST),2140,29,2169,0.15,14 - Bangaon (West Bengal),25,14
12.0,SAMARESH BISWAS,Party for Democratic Socialism,1562,3,1565,0.1,14 - Bangaon (West Bengal),25,14
13.0,BISWAJIT DAS,Independent,1257,15,1272,0.09,14 - Bangaon (West Bengal),25,14
14.0,KALYAN SARKAR,Independent,676,15,691,0.05,14 - Bangaon (West Bengal),25,14
15.0,SUBRATA BISWAS,Guruchand Sena Dal,581,2,583,0.04,14 - Bangaon (West Bengal),25,14
16.0,NOTA,None of the Above,6635,50,6685,0.45,14 - Bangaon (West Bengal),25,14
,Total,,1487892,5216,1493108,,14 - Bangaon (West Bengal),25,14
1.0,PARTHA BHOWMICK,All India Trinamool Congress,518486,1745,520231,45.56,15 - Barrackpur (West Bengal),25,15
2.0,ARJUN SINGH,Bharatiya Janata Party,454184,1609,455793,39.92,15 - Barrackpur (West Bengal),25,15
3.0,DEBDUT GHOSH,Communist Party of India (Marxist),109038,526,109564,9.6,15 - Barrackpur (West Bengal),25,15
4.0,MD JAMIR HOSSAIN,All India Secular Front,18797,9,18806,1.65,15 - Barrackpur (West Bengal),25,15
5.0,ROHIT KUMAR PATHAK,Independent,7116,16,7132,0.62,15 - Barrackpur (West Bengal),25,15
6.0,CHAPALA RAY (MAJUMDER),Bahujan Samaj Party,3882,27,3909,0.34,15 - Barrackpur (West Bengal),25,15
7.0,SHARMISTHA DAS,Independent,3622,12,3634,0.32,15 - Barrackpur (West Bengal),25,15
8.0,ANJAN GOSWAMI,Bharatiya Nyay-Adhikar Raksha Party,3434,14,3448,0.3,15 - Barrackpur (West Bengal),25,15
9.0,DHARMENDRA SINGH,Independent,2843,4,2847,0.25,15 - Barrackpur (West Bengal),25,15
10.0,SANJAY SINGH,Independent,1670,6,1676,0.15,15 - Barrackpur (West Bengal),25,15
11.0,DEBASISH BANERJEE,Socialist Unity Centre Of India (COMMUNIST),1422,12,1434,0.13,15 - Barrackpur (West Bengal),25,15
12.0,KUNDAN SINGH,Independent,820,6,826,0.07,15 - Barrackpur (West Bengal),25,15
13.0,UDAY VEER CHOUDHURY,Independent,745,12,757,0.07,15 - Barrackpur (West Bengal),25,15
14.0,AMIT KUMAR CHOUBEY,Independent,717,4,721,0.06,15 - Barrackpur (West Bengal),25,15
15.0,NOTA,None of the Above,11043,39,11082,0.97,15 - Barrackpur (West Bengal),25,15
,Total,,1137819,4041,1141860,,15 - Barrackpur (West Bengal),25,15
1.0,SOUGATA RAY,All India Trinamool Congress,526289,2290,528579,41.95,16 - Dum dum (West Bengal),25,16
2.0,SILBHADRA DATTA,Bharatiya Janata Party,456138,1781,457919,36.34,16 - Dum dum (West Bengal),25,16
3.0,SUJAN CHAKRABORTY,Communist Party of India (Marxist),239418,1366,240784,19.11,16 - Dum dum (West Bengal),25,16
4.0,SHEKH IMANUR RAHMAN,Independent,6410,1,6411,0.51,16 - Dum dum (West Bengal),25,16
5.0,SWAMINATH KORI,Bahujan Samaj Party,3749,17,3766,0.3,16 - Dum dum (West Bengal),25,16
6.0,HIRAK SINHA,Independent,3144,3,3147,0.25,16 - Dum dum (West Bengal),25,16
7.0,BANAMALI PANDA,Socialist Unity Centre Of India (COMMUNIST),1728,11,1739,0.14,16 - Dum dum (West Bengal),25,16
8.0,DULU DEY,Independent,1688,6,1694,0.13,16 - Dum dum (West Bengal),25,16
9.0,MANIKA MUKHERJEE,Bharatiya Nyay-Adhikar Raksha Party,1231,6,1237,0.1,16 - Dum dum (West Bengal),25,16
10.0,SANTANU MANDAL,Democratic Socialist Party of India,880,5,885,0.07,16 - Dum dum (West Bengal),25,16
11.0,TRIDIB BHUNIA,Independent,765,7,772,0.06,16 - Dum dum (West Bengal),25,16
12.0,GOURI BISWAS,Independent,698,3,701,0.06,16 - Dum dum (West Bengal),25,16
13.0,SUBRATA BHOWMIK,Mera Bharat Mahan Party,602,2,604,0.05,16 - Dum dum (West Bengal),25,16
14.0,HARI PADA BISWAS,Mulnibasi Party of India,465,9,474,0.04,16 - Dum dum (West Bengal),25,16
15.0,NOTA,None of the Above,11256,78,11334,0.9,16 - Dum dum (West Bengal),25,16
,Total,,1254461,5585,1260046,,16 - Dum dum (West Bengal),25,16
1.0,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,689513,2497,692010,45.15,17 - Barasat (West Bengal),25,17
2.0,SWAPAN MAJUMDER,Bharatiya Janata Party,576024,1797,577821,37.7,17 - Barasat (West Bengal),25,17
