S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,State Code,Constituency Number
4.0,DR SWETA GAONKAR,Bahujan Samaj Party,1545,36,1581,0.35,2 - South Goa (Goa),5,2
5.0,DEEPKUMAR D MAPARI,Independent,1309,8,1317,0.29,2 - South Goa (Goa),5,2
6.0,DR KALIDAS VAINGANKAR,Independent,707,13,720,0.16,2 - South Goa (Goa),5,2
7.0,ALEXY FERNANDES,Independent,526,16,542,0.12,2 - South Goa (Goa),5,2
8.0,HARISHCHANDRA SUDHAKAR NAIK,Corruption Abolition Party,487,14,501,0.11,2 - South Goa (Goa),5,2
9.0,NOTA,None of the Above,4804,33,4837,1.07,2 - South Goa (Goa),5,2
,Total,,445924,4596,450520,,2 - South Goa (Goa),5,2
1.0,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,656979,2595,659574,60.23,1 - Kachchh (Gujarat),6,1
2.0,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,389384,1408,390792,35.68,1 - Kachchh (Gujarat),6,1
3.0,VIJAY BHACHRA,Bahujan Samaj Party,6075,36,6111,0.56,1 - Kachchh (Gujarat),6,1
4.0,VANAZARA HIRABEN DALPATBHAI,Independent,5145,6,5151,0.47,1 - Kachchh (Gujarat),6,1
5.0,BABULAL LADHA CHAVDA,Independent,3348,6,3354,0.31,1 - Kachchh (Gujarat),6,1
6.0,KAVITABEN DINESHBHAI MACHCHHOYA,Independent,3342,24,3366,0.31,1 - Kachchh (Gujarat),6,1
7.0,DEVABHAI MITHABHAI GOHIL,Rashtriya Power Party,2087,14,2101,0.19,1 - Kachchh (Gujarat),6,1
8.0,SHAMLIA VIRJI CHAKU,Hindvi Swarajyay Dal,1560,13,1573,0.14,1 - Kachchh (Gujarat),6,1
9.0,ARVIND ASHOK SANGHELA,Gujarat Sarva Samaj Party,1509,17,1526,0.14,1 - Kachchh (Gujarat),6,1
10.0,BOCHIYA BHIMJI BHIKHA,Sarva Samaj Janata Party,1491,6,1497,0.14,1 - Kachchh (Gujarat),6,1
11.0,RAMJIBHAI JAKHUBHAI DAFDA,Right to Recall Party,1357,13,1370,0.13,1 - Kachchh (Gujarat),6,1
12.0,NOTA,None of the Above,18604,138,18742,1.71,1 - Kachchh (Gujarat),6,1
,Total,,1090881,4276,1095157,,1 - Kachchh (Gujarat),6,1
1.0,GENIBEN NAGAJI THAKOR,Indian National Congress,667072,4811,671883,48.83,2 - Banaskantha (Gujarat),6,2
2.0,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,635760,5717,641477,46.62,2 - Banaskantha (Gujarat),6,2
3.0,MANSUNGBHAI MASHRUBHAI PARMAR,Bahujan Samaj Party,9900,29,9929,0.72,2 - Banaskantha (Gujarat),6,2
4.0,RATHOD MAVJI BHEMAJI,Independent,7690,6,7696,0.56,2 - Banaskantha (Gujarat),6,2
5.0,SHRIMALI ASHOKBHAI BALCHANDBHAI,Independent,5473,8,5481,0.4,2 - Banaskantha (Gujarat),6,2
6.0,JASUBHAI GAMAR,Bharat Adivasi Party,4615,11,4626,0.34,2 - Banaskantha (Gujarat),6,2
7.0,PATEL PIYUSHBHAI KARSHANBHAI,Bharatiya Yuva Jan Ekta Party,3503,10,3513,0.26,2 - Banaskantha (Gujarat),6,2
8.0,BAJAG LASHABHAI LAVAJIBHAI,Independent,2994,15,3009,0.22,2 - Banaskantha (Gujarat),6,2
9.0,PRAVINBHAI ISHVARBHAI CHAUHAN,Swatantrata Abhivyakti Party,1822,1,1823,0.13,2 - Banaskantha (Gujarat),6,2
10.0,IBRAHIMBHAI PARASANI,Independent,1588,3,1591,0.12,2 - Banaskantha (Gujarat),6,2
11.0,PARMAR CHHAGANCHANDRARAJ,Independent,1369,5,1374,0.1,2 - Banaskantha (Gujarat),6,2
12.0,CHETANKUMAR KESHAVLAL OZA,Independent,1321,13,1334,0.1,2 - Banaskantha (Gujarat),6,2
13.0,NOTA,None of the Above,22034,133,22167,1.61,2 - Banaskantha (Gujarat),6,2
,Total,,1365141,10762,1375903,,2 - Banaskantha (Gujarat),6,2
1.0,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,585591,6356,591947,49.61,3 - Patan (Gujarat),6,3
2.0,CHANDANJI TALAJI THAKOR,Indian National Congress,555134,4937,560071,46.94,3 - Patan (Gujarat),6,3
3.0,BALVANT CHHATRALIYA,Bahujan Samaj Party,5811,54,5865,0.49,3 - Patan (Gujarat),6,3
4.0,SOYAB HASAM BHORANIYA,Independent,5473,1,5474,0.46,3 - Patan (Gujarat),6,3
5.0,THAKOR KISHANBHAI KALUBHAI,Independent,2909,7,2916,0.24,3 - Patan (Gujarat),6,3
6.0,SHARMA RAKESHBHAI,Rashtriya Samaj Paksha,2765,9,2774,0.23,3 - Patan (Gujarat),6,3
7.0,GHAGHA MASIHULLAH ABDULHAMID,Social Democratic Party Of India,2305,7,2312,0.19,3 - Patan (Gujarat),6,3
8.0,CHANDURA DHANJIBHAI LAXAMANBHAI,Independent,2135,25,2160,0.18,3 - Patan (Gujarat),6,3
9.0,ABDULHAQ ISMAIL NEDARIYA,Independent,1510,14,1524,0.13,3 - Patan (Gujarat),6,3
10.0,ABDULKUDDUS,Independent,1358,2,1360,0.11,3 - Patan (Gujarat),6,3
11.0,NOTA,None of the Above,16382,340,16722,1.4,3 - Patan (Gujarat),6,3
,Total,,1181373,11752,1193125,,3 - Patan (Gujarat),6,3
1.0,HARIBHAI PATEL,Bharatiya Janata Party,675614,10792,686406,63.74,4 - Mahesana (Gujarat),6,4
2.0,RAMJI THAKOR,Indian National Congress,352578,5782,358360,33.28,4 - Mahesana (Gujarat),6,4
3.0,AMRUTLAL MAKWANA,Bahujan Samaj Party,9710,164,9874,0.92,4 - Mahesana (Gujarat),6,4
4.0,CHAUHAN PRAKASHKUMAR TRIBHOVANDAS,Akhila Vijaya Party,3866,16,3882,0.36,4 - Mahesana (Gujarat),6,4
5.0,PATEL MANUBHAI SHANKARLAL,Independent,3597,75,3672,0.34,4 - Mahesana (Gujarat),6,4
6.0,ZALA VIKRAMSINH BANESINH,Rashtra Nirman Party,2949,58,3007,0.28,4 - Mahesana (Gujarat),6,4
7.0,NOTA,None of the Above,11002,624,11626,1.08,4 - Mahesana (Gujarat),6,4
,Total,,1059316,17511,1076827,,4 - Mahesana (Gujarat),6,4
1.0,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,670929,6389,677318,53.36,5 - Sabarkantha (Gujarat),6,5
2.0,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,515902,5734,521636,41.09,5 - Sabarkantha (Gujarat),6,5
3.0,PARMAR RAMESHCHANDRA NANJIBHAI,Bahujan Samaj Party,9850,117,9967,0.79,5 - Sabarkantha (Gujarat),6,5
4.0,SOLANKI CHHAGANBHAI KEVLABHAI,Independent,7539,12,7551,0.59,5 - Sabarkantha (Gujarat),6,5
5.0,VIJAYSINH NAVALSINH CHAUHAN,Independent,6692,29,6721,0.53,5 - Sabarkantha (Gujarat),6,5
6.0,BHAVNABA NARENDRASINH PARMAR,Independent,5365,94,5459,0.43,5 - Sabarkantha (Gujarat),6,5
7.0,ANILKUMAR NIRANJANKUMAR MUNDADA,Log Party,5225,22,5247,0.41,5 - Sabarkantha (Gujarat),6,5
8.0,MUSTAKBHAI JAMALBHAI SANGHANI,Independent,3196,7,3203,0.25,5 - Sabarkantha (Gujarat),6,5
9.0,KATARA VARUNKUMAR KALYANSINH,Gunj Satya Ni Janata Party,2717,56,2773,0.22,5 - Sabarkantha (Gujarat),6,5
10.0,RAKESHSINH MAHOBATSINH ZALA,Bhartiya Jan Parishad,1882,69,1951,0.15,5 - Sabarkantha (Gujarat),6,5
11.0,PANDOR KAUSHIKKUMAR SHANKARBHAI,Independent,1782,45,1827,0.14,5 - Sabarkantha (Gujarat),6,5
12.0,ASHOK L VAGHELA,Independent,1673,15,1688,0.13,5 - Sabarkantha (Gujarat),6,5
13.0,KANUBHAI KHIMJIBHAI GADHAVI,Independent,1467,38,1505,0.12,5 - Sabarkantha (Gujarat),6,5
14.0,THAKOR INDIRABEN JITENDRASINH,Insaniyat Party,1402,34,1436,0.11,5 - Sabarkantha (Gujarat),6,5
15.0,NOTA,None of the Above,20665,411,21076,1.66,5 - Sabarkantha (Gujarat),6,5
,Total,,1256286,13072,1269358,,5 - Sabarkantha (Gujarat),6,5
1.0,AMIT SHAH,Bharatiya Janata Party,999984,10988,1010972,76.48,6 - Gandhinagar (Gujarat),6,6
2.0,SONAL RAMANBHAI PATEL,Indian National Congress,261411,4845,266256,20.14,6 - Gandhinagar (Gujarat),6,6
3.0,MOHAMMEDANISH DESAI,Bahujan Samaj Party,7272,122,7394,0.56,6 - Gandhinagar (Gujarat),6,6
4.0,SHAHNAWAZKHAN SULTANKHAN PATHAN,Independent,2325,7,2332,0.18,6 - Gandhinagar (Gujarat),6,6
5.0,MALEK MAKBUL SHAKIB,Independent,2052,6,2058,0.16,6 - Gandhinagar (Gujarat),6,6
6.0,THAKOR JITENDRASINH JASHAVANTSINH,Insaniyat Party,1949,60,2009,0.15,6 - Gandhinagar (Gujarat),6,6
7.0,PARIKH RAJIVBHAI KALABHAI,Independent,1719,32,1751,0.13,6 - Gandhinagar (Gujarat),6,6
8.0,MANSURI SUHANA,Independent,1437,16,1453,0.11,6 - Gandhinagar (Gujarat),6,6
9.0,MAURYA SUMITRA DEVNARIAN,Prajatantra Aadhar Party,1205,12,1217,0.09,6 - Gandhinagar (Gujarat),6,6
10.0,UMADIYA ALIBHAI RAJABHAI,Independent,1004,5,1009,0.08,6 - Gandhinagar (Gujarat),6,6
11.0,RAHUL CHIMANBHAI MEHTA,Right to Recall Party,982,19,1001,0.08,6 - Gandhinagar (Gujarat),6,6
12.0,PATHAN IMTIYAJKHAN,Independent,786,56,842,0.06,6 - Gandhinagar (Gujarat),6,6
13.0,BAGVAN BAHADURSHAH GULMOHAMMAD,Independent,755,16,771,0.06,6 - Gandhinagar (Gujarat),6,6
14.0,NAVSADALAM IBRAHIMBHAI MALEK,Independent,726,6,732,0.06,6 - Gandhinagar (Gujarat),6,6
15.0,NOTA,None of the Above,21233,772,22005,1.66,6 - Gandhinagar (Gujarat),6,6
,Total,,1304840,16962,1321802,,6 - Gandhinagar (Gujarat),6,6
1.0,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,763028,7431,770459,68.28,7 - Ahmedabad East (Gujarat),6,7
2.0,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,303713,4991,308704,27.36,7 - Ahmedabad East (Gujarat),6,7
3.0,MAKWANA JAYANTIBHAI KANJIBHAI,Bahujan Samaj Party,10235,247,10482,0.93,7 - Ahmedabad East (Gujarat),6,7
4.0,BRIJESH SHARMA,Independent,4514,12,4526,0.4,7 - Ahmedabad East (Gujarat),6,7
5.0,HARSHAD BABUBHAI NANDOLIYA,Independent,3554,17,3571,0.32,7 - Ahmedabad East (Gujarat),6,7
6.0,MAHESHKUMAR SOMABHAI THAKOR,Independent,3005,28,3033,0.27,7 - Ahmedabad East (Gujarat),6,7
7.0,KALPESHBHAI SHETE,Gunj Satya Ni Janata Party,2927,10,2937,0.26,7 - Ahmedabad East (Gujarat),6,7
8.0,PATANI VISHNUBHAI NATAVARBHAI,Independent,2377,43,2420,0.21,7 - Ahmedabad East (Gujarat),6,7
9.0,ZALA SANJAYKUMAR MAHOBATSINH,Independent,2310,56,2366,0.21,7 - Ahmedabad East (Gujarat),6,7
10.0,DASHARATHBHAI KANTILAL PANCHAL,Independent,1474,6,1480,0.13,7 - Ahmedabad East (Gujarat),6,7
11.0,PRAMOD SAHDEVBHAI GUDADE,Swatantrata Abhivyakti Party,1275,4,1279,0.11,7 - Ahmedabad East (Gujarat),6,7
12.0,RAJESH HARIRAM MAURYA,Prajatantra Aadhar Party,1199,13,1212,0.11,7 - Ahmedabad East (Gujarat),6,7
13.0,INGOLE ROOPESHBHAI BABUBHAI,Independent,1153,16,1169,0.1,7 - Ahmedabad East (Gujarat),6,7
14.0,DHANANJAY GIRJASHANKAR RAJPUT,Bhartiya Jan Parishad,1083,37,1120,0.1,7 - Ahmedabad East (Gujarat),6,7
15.0,MANISH KUMAR DUBEY,Swaraj Kranti Party,898,11,909,0.08,7 - Ahmedabad East (Gujarat),6,7
16.0,CHAUHAN MOHAMADFARUK AHEMADHASANBHAI,Independent,771,7,778,0.07,7 - Ahmedabad East (Gujarat),6,7
17.0,HITENDRABHAI PATEL,Aadi Bharat Party,722,20,742,0.07,7 - Ahmedabad East (Gujarat),6,7
18.0,PIYUSHBHAI BHAVSAR,Youth India Peace Party,642,7,649,0.06,7 - Ahmedabad East (Gujarat),6,7
19.0,NOTA,None of the Above,9911,592,10503,0.93,7 - Ahmedabad East (Gujarat),6,7
,Total,,1114791,13548,1128339,,7 - Ahmedabad East (Gujarat),6,7
1.0,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,606545,5159,611704,63.28,8 - Ahmedabad West (Gujarat),6,8
2.0,BHARAT YOGENDRA MAKWANA,Indian National Congress,321972,3295,325267,33.65,8 - Ahmedabad West (Gujarat),6,8
3.0,ANILKUMAR VASANTBHAI VAGHELA,Bahujan Samaj Party,9448,152,9600,0.99,8 - Ahmedabad West (Gujarat),6,8
4.0,BHITORA BHAVESHKUMAR CHIMANLAL,Gujarat Loktantra Party,2443,15,2458,0.25,8 - Ahmedabad West (Gujarat),6,8
5.0,SHANKARBHAI KHUSHALBHAI RATHOD,Democratic Bharatiya Samaj Party,2345,44,2389,0.25,8 - Ahmedabad West (Gujarat),6,8
6.0,VEDUBHAI KAUTIKBHAI SIRASAT,Jan Sewa Driver Party,1214,7,1221,0.13,8 - Ahmedabad West (Gujarat),6,8
7.0,NOTA,None of the Above,13604,403,14007,1.45,8 - Ahmedabad West (Gujarat),6,8
,Total,,957571,9075,966646,,8 - Ahmedabad West (Gujarat),6,8
1.0,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,664093,5656,669749,59.2,9 - Surendranagar (Gujarat),6,9
2.0,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,403461,4671,408132,36.07,9 - Surendranagar (Gujarat),6,9
3.0,DABHI ASHOKBHAI SUKHABHAI,Bahujan Samaj Party,11885,151,12036,1.06,9 - Surendranagar (Gujarat),6,9
4.0,VINODBHAI BABUBHAI SATROTIYA,Independent,5940,6,5946,0.53,9 - Surendranagar (Gujarat),6,9
5.0,KOLI RAMESHBHAI VIRSANGBHAI VAGHELA,Independent,5173,16,5189,0.46,9 - Surendranagar (Gujarat),6,9
6.0,CHAVDA NILESHBHAI MANSUKHBHAI,Rashtra Nirman Party,4103,26,4129,0.36,9 - Surendranagar (Gujarat),6,9
7.0,ZALA DEVRAJBHAI BABUBHAI,Independent,2442,21,2463,0.22,9 - Surendranagar (Gujarat),6,9
8.0,J.K.PATEL,Independent,2308,59,2367,0.21,9 - Surendranagar (Gujarat),6,9
9.0,DEVENDRA MOHANDAS MAHANT,Gunj Satya Ni Janata Party,2042,9,2051,0.18,9 - Surendranagar (Gujarat),6,9
10.0,GEDIYA KRUSHANAVADAN HARIPRASADBHAI,Independent,1435,24,1459,0.13,9 - Surendranagar (Gujarat),6,9
11.0,ANANDBHAI PACHANBHAI RATHOD,Independent,1241,8,1249,0.11,9 - Surendranagar (Gujarat),6,9
12.0,DILIPBHAI PARSHOTTAMBHAI MAKWANA,New India United Party,1222,35,1257,0.11,9 - Surendranagar (Gujarat),6,9
13.0,ASHOK PALAJIBHAI RATHOD,Independent,1087,4,1091,0.1,9 - Surendranagar (Gujarat),6,9
14.0,PATEL MADHUSUDAN BALDEVBHAI,Mission All India Independent Justice Party,948,12,960,0.08,9 - Surendranagar (Gujarat),6,9
15.0,NOTA,None of the Above,12799,500,13299,1.18,9 - Surendranagar (Gujarat),6,9
,Total,,1120179,11198,1131377,,9 - Surendranagar (Gujarat),6,9
1.0,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,850846,7138,857984,67.37,10 - Rajkot (Gujarat),6,10
2.0,DHANANI PARESH,Indian National Congress,368964,4760,373724,29.35,10 - Rajkot (Gujarat),6,10
3.0,CHAMANBHAI NAGJIBHAI SAVSANI,Bahujan Samaj Party,10356,109,10465,0.82,10 - Rajkot (Gujarat),6,10
4.0,AJAGIYA NIRALBHAI AMRUTLAL,Independent,3674,6,3680,0.29,10 - Rajkot (Gujarat),6,10
5.0,BHAVESHBHAI KANTILAL PIPALIYA,Independent,2846,10,2856,0.22,10 - Rajkot (Gujarat),6,10
6.0,BHAVESH UPENDRABHAI ACHARYA,Independent,2806,34,2840,0.22,10 - Rajkot (Gujarat),6,10
7.0,PRAKASH GOVINDBHAI SINDHAV,Independent,2355,34,2389,0.19,10 - Rajkot (Gujarat),6,10
8.0,ZALA NAYAN J.,Independent,2321,29,2350,0.18,10 - Rajkot (Gujarat),6,10
9.0,JIGNESHBHAI MAHAJAN,Independent,1322,10,1332,0.1,10 - Rajkot (Gujarat),6,10
10.0,NOTA,None of the Above,15288,634,15922,1.25,10 - Rajkot (Gujarat),6,10
,Total,,1260778,12764,1273542,,10 - Rajkot (Gujarat),6,10
1.0,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,625962,7156,633118,68.15,11 - Porbandar (Gujarat),6,11
2.0,LALIT VASOYA,Indian National Congress,245677,4081,249758,26.89,11 - Porbandar (Gujarat),6,11
3.0,N. P. RATHOD,Bahujan Samaj Party,10560,362,10922,1.18,11 - Porbandar (Gujarat),6,11
4.0,NATHABHAI BHURABHAI ODEDRA,Independent,7164,132,7296,0.79,11 - Porbandar (Gujarat),6,11
5.0,LAKHANSI ODEDARA,Viro Ke Vir Indian Party,3130,33,3163,0.34,11 - Porbandar (Gujarat),6,11
6.0,SOLANKI JATIN DHIRUBHAI,Independent,2469,17,2486,0.27,11 - Porbandar (Gujarat),6,11
7.0,SODHA HUSHENBHAI ALIBHAI,Independent,2432,3,2435,0.26,11 - Porbandar (Gujarat),6,11
8.0,RATHOD CHANDUBHAI MOHANBHAI,Independent,1705,24,1729,0.19,11 - Porbandar (Gujarat),6,11
9.0,SHEKHAVA NILESHKUMAR RAMJIBHAI,Samajwadi Party,1587,22,1609,0.17,11 - Porbandar (Gujarat),6,11
10.0,SIDHHAPARA HARSUKHLAL JIVANBHAI,Log Party,1059,13,1072,0.12,11 - Porbandar (Gujarat),6,11
11.0,MAHEMUDBHAI SAIYAD,Independent,1023,6,1029,0.11,11 - Porbandar (Gujarat),6,11
12.0,JETHAVA BIPINKUMAR BHIKHALAL,Independent,786,11,797,0.09,11 - Porbandar (Gujarat),6,11
13.0,NOTA,None of the Above,13004,559,13563,1.46,11 - Porbandar (Gujarat),6,11
,Total,,916558,12419,928977,,11 - Porbandar (Gujarat),6,11
1.0,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,618120,1929,620049,58.98,12 - Jamnagar (Gujarat),6,12
2.0,ADVOCATE J. P. MARAVIYA,Indian National Congress,380949,1092,382041,36.34,12 - Jamnagar (Gujarat),6,12
3.0,JAYSUKH NATHUBHAI PINGALSUR,Bahujan Samaj Party,11429,33,11462,1.09,12 - Jamnagar (Gujarat),6,12
4.0,KANZARIYA RANCHHODBHAI NARANBHAI,Viro Ke Vir Indian Party,6973,29,7002,0.67,12 - Jamnagar (Gujarat),6,12
5.0,VIJAYSINH PRAVINSINH JADEJA,Independent,4817,17,4834,0.46,12 - Jamnagar (Gujarat),6,12
6.0,RATHOD PUNJABHAI PALABHAI,Independent,3727,5,3732,0.36,12 - Jamnagar (Gujarat),6,12
7.0,BHURALAL MEGHJIBHAI PARMAR,Independent,1923,5,1928,0.18,12 - Jamnagar (Gujarat),6,12
8.0,GHUGHA ALARAKHABHAI ISHAKBHAI,Independent,1582,3,1585,0.15,12 - Jamnagar (Gujarat),6,12
9.0,KHIRA YUSUF SIDIKBHAI,Independent,1368,3,1371,0.13,12 - Jamnagar (Gujarat),6,12
10.0,NANJI AMARSHI BATHWAR,Independent,1365,5,1370,0.13,12 - Jamnagar (Gujarat),6,12
11.0,ANWAR NOORMAMAD SANGHAR,Independent,1299,-,1299,0.12,12 - Jamnagar (Gujarat),6,12
12.0,PARESHBHAI PARSOTTAMBHAI MUNGARA,Rashtriya Mahaswaraj Bhumi Party,1266,4,1270,0.12,12 - Jamnagar (Gujarat),6,12
13.0,POPATPUTRA RAFIK ABUBAKAR,Independent,1133,5,1138,0.11,12 - Jamnagar (Gujarat),6,12
14.0,NADEEM MAHAMMAD HALA,Independent,1069,1,1070,0.1,12 - Jamnagar (Gujarat),6,12
15.0,NOTA,None of the Above,10972,112,11084,1.05,12 - Jamnagar (Gujarat),6,12
,Total,,1047992,3243,1051235,,12 - Jamnagar (Gujarat),6,12
1.0,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,578516,5533,584049,54.67,13 - Junagadh (Gujarat),6,13
2.0,JOTVA HIRABHAI ARJANBHAI,Indian National Congress,444156,4399,448555,41.99,13 - Junagadh (Gujarat),6,13
3.0,MAKADIA JAYANTILAL MALDEBHAI,Bahujan Samaj Party,7132,150,7282,0.68,13 - Junagadh (Gujarat),6,13
4.0,VADHER DANSING CHINABHAI,Independent,5161,28,5189,0.49,13 - Junagadh (Gujarat),6,13
5.0,DEVENDRABHAI DHANJIBHAI MOTIVARAS,Independent,2302,7,2309,0.22,13 - Junagadh (Gujarat),6,13
6.0,BORICHANGAR BHAVESH DALPATRAI,Independent,1884,24,1908,0.18,13 - Junagadh (Gujarat),6,13
7.0,DAKI NATHABHAI MENSIBHAI,Independent,1329,15,1344,0.13,13 - Junagadh (Gujarat),6,13
8.0,ISHWAR RAMBHAI SOLANKI,Right to Recall Party,1150,21,1171,0.11,13 - Junagadh (Gujarat),6,13
9.0,ALPESHKUMAR CHANDULAL TRAMBADIYA,Log Party,943,21,964,0.09,13 - Junagadh (Gujarat),6,13
10.0,GORDHANBHAI MANGABHAI GOHEL,Independent,758,17,775,0.07,13 - Junagadh (Gujarat),6,13
11.0,AARAB HASAM SUMRA,Independent,689,5,694,0.06,13 - Junagadh (Gujarat),6,13
12.0,NOTA,None of the Above,13434,579,14013,1.31,13 - Junagadh (Gujarat),6,13
,Total,,1057454,10799,1068253,,13 - Junagadh (Gujarat),6,13
1.0,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,577820,3052,580872,66.28,14 - Amreli (Gujarat),6,14
2.0,JENNY THUMMAR,Indian National Congress,258231,1573,259804,29.64,14 - Amreli (Gujarat),6,14
3.0,CHAUHAN RAVAJIBHAI MULABHAI,Bahujan Samaj Party,7486,57,7543,0.86,14 - Amreli (Gujarat),6,14
4.0,SANKHAT VIKRAMBHAI VISABHAI,Global Republican Party,4958,51,5009,0.57,14 - Amreli (Gujarat),6,14
5.0,BAVKUBHAI AMARUBHAI VALA,Independent,3733,44,3777,0.43,14 - Amreli (Gujarat),6,14
6.0,BHAVESHBHAI JENTIBHAI RANK,Independent,3663,8,3671,0.42,14 - Amreli (Gujarat),6,14
7.0,PUNJABHAI BAVBHAI DAFDA,Independent,2598,23,2621,0.3,14 - Amreli (Gujarat),6,14
8.0,PRITESH CHAUHAN (LALU),Independent,1759,21,1780,0.2,14 - Amreli (Gujarat),6,14
9.0,NOTA,None of the Above,11125,224,11349,1.29,14 - Amreli (Gujarat),6,14
,Total,,871373,5053,876426,,14 - Amreli (Gujarat),6,14
1.0,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,707428,9455,716883,68.46,15 - Bhavnagar (Gujarat),6,15
2.0,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,256902,4692,261594,24.98,15 - Bhavnagar (Gujarat),6,15
3.0,RATHOD DINESHBHAI LAKHABHAI,Bahujan Samaj Party,9989,141,10130,0.97,15 - Bhavnagar (Gujarat),6,15
4.0,ANILBHAI NARENDRABHAI CHAVDA,Swatantrata Abhivyakti Party,7574,45,7619,0.73,15 - Bhavnagar (Gujarat),6,15
5.0,PARMAR RAJESHKUMAR PREMJIBHAI,New India United Party,6456,37,6493,0.62,15 - Bhavnagar (Gujarat),6,15
6.0,KALANIYA SAGARBHAI POPATBHAI,Aapki Awaaz Party,6039,48,6087,0.58,15 - Bhavnagar (Gujarat),6,15
7.0,SANJAYBHAI MAGANBHAI MAKAWANA,Independent,4131,22,4153,0.4,15 - Bhavnagar (Gujarat),6,15
8.0,HARSH GOKLANI,Independent,3593,41,3634,0.35,15 - Bhavnagar (Gujarat),6,15
9.0,SHRI MULSHANKARBHAI RAGHURAMBHAI CHAUHAN,Independent,3386,20,3406,0.33,15 - Bhavnagar (Gujarat),6,15
10.0,SHRI TIDABHAI DEVSHIBHAI,Gujarat Sarva Samaj Party,2641,44,2685,0.26,15 - Bhavnagar (Gujarat),6,15
11.0,BHUPATBHAI MOHANBHAI VALA,Right to Recall Party,2370,24,2394,0.23,15 - Bhavnagar (Gujarat),6,15
12.0,NARESHBHAI NARANBHAI RATHOD,Independent,1745,20,1765,0.17,15 - Bhavnagar (Gujarat),6,15
13.0,BRAHMAKSHTRIYA BHAGVATIBEN KHETSINH,Independent,1562,62,1624,0.16,15 - Bhavnagar (Gujarat),6,15
14.0,NOTA,None of the Above,17717,1048,18765,1.79,15 - Bhavnagar (Gujarat),6,15
,Total,,1031533,15699,1047232,,15 - Bhavnagar (Gujarat),6,15
1.0,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,607394,5090,612484,52.44,16 - Anand (Gujarat),6,16
2.0,AMIT CHAVDA,Indian National Congress,516453,6092,522545,44.74,16 - Anand (Gujarat),6,16
3.0,SURESHBHAI DHULABHAI PATEL,Bahujan Samaj Party,5778,53,5831,0.5,16 - Anand (Gujarat),6,16
4.0,BHOI ASHISHKUMAR THAKORBHAI,Independent,5525,17,5542,0.47,16 - Anand (Gujarat),6,16
5.0,KEYURBHAI PRAVINBHAI PATEL (BAKABHAI),Independent,2290,8,2298,0.2,16 - Anand (Gujarat),6,16
6.0,DHEERAJKUMAR KSHATRIYA,Garib Kalyan Party,1723,24,1747,0.15,16 - Anand (Gujarat),6,16
7.0,BHATT SUNILKUMAR NARENDRABHAI,Right to Recall Party,1584,8,1592,0.14,16 - Anand (Gujarat),6,16
8.0,NOTA,None of the Above,15679,251,15930,1.36,16 - Anand (Gujarat),6,16
,Total,,1156426,11543,1167969,,16 - Anand (Gujarat),6,16
1.0,DEVUSINH CHAUHAN,Bharatiya Janata Party,738609,5826,744435,63.31,17 - Kheda (Gujarat),6,17
2.0,KALUSINH DABHI,Indian National Congress,381656,5021,386677,32.88,17 - Kheda (Gujarat),6,17
3.0,SODHA SANJAYKUMAR PARVATSINH,Independent,6123,16,6139,0.52,17 - Kheda (Gujarat),6,17
4.0,BHAILALBHAI KALUBHAI PANDAV,Bahujan Samaj Party,6055,97,6152,0.52,17 - Kheda (Gujarat),6,17
5.0,PARMAR HITESHKUMAR PARSOTTAMBHAI,Independent,2730,11,2741,0.23,17 - Kheda (Gujarat),6,17
6.0,UPENDRAKUMAR VALLAVBHAI PATEL,Independent,2703,12,2715,0.23,17 - Kheda (Gujarat),6,17
7.0,PATEL ANILKUMAR BHAILALBHAI,Rashtriya Mahaswaraj Bhumi Party,2493,30,2523,0.21,17 - Kheda (Gujarat),6,17
8.0,SAIYAD KADARI MOHAMMAD SABIR ANVAR HUSAIN,Bhartiya Jan Nayak Party,1812,26,1838,0.16,17 - Kheda (Gujarat),6,17
9.0,INDIRADEVI HIRALAL VORA,Garib Kalyan Party,1126,9,1135,0.1,17 - Kheda (Gujarat),6,17
